name;sku;brand;price;category;brandPage;info1;info2;info3;info4;info5;info6;info7;info8;info9;info10;info11;info12;info13;info14;info15;info16;image;image2;image3;image4;image5;image6;image7;image8;link;height;width;depth;weight;material;color;BarCode
Torba gimnastyczna-worek LECH POZNAŃ LP-5819;LP-5819;Lech Poznan;45,00;Torba gimnastyczna;lech-poznan;ściągany na podwójny sznurek;w środku wykończony taśmami;100% poliester 150D;cały materiał tłoczony motywem LECH POZNAŃ;;;;;;;;;;;;;LP-5819 front.jpg;LP-5819 back.jpg;lp podszewka.jpg;lp herb.jpg;;;;;https://allegro.pl/oferta/torba-gimnastyczna-worek-lech-poznan-lp-5819-16981998893;44;37;1;100;poliester;granatowy;5907582504979
LP-5739 Plecak wycieczkowy LECH POZNAŃ;LP-5739;Lech Poznan;119,50;plecak;lech-poznan;mieści format A4;regulowane i wypełnione pianką szelki;plecy usztywniane i wypełnione pianką;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;1 komora główna;1 kieszeń przednia;2 kieszenie boczne;dekoracyjne, personalizowane pullery LECH POZNAŃ;w środku w całości wykończony personalizowaną podszewką LECH POZNAŃ, wytrzymałym poliestrem i  taśmami;obszerna kieszeń wewnętrzna;wzmacniane, wielowarstwowe dno;;;;;;LP-5739 front.jpg;LP-5739 back.jpg;LP-5739 left side.jpg;LP-5739 inside.jpg;lp podszewka.jpg;lp herb.jpg;;;https://allegro.pl/oferta/lp-5739-plecak-wycieczkowy-lech-poznan-16265116744;36;27;14;350;poliester 840D;granatowy;5907582504917
LP-5738 Plecak LECH POZNAŃ;LP-5738;Lech Poznan;259,50;plecak;lech-poznan;mieści format A4;regulowane i wypełnione pianką szelki;gumowa nakładka na rączkę, podnosząca komfort przenoszenia w ręku;plecy usztywniane i wypełnione pianką;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;2 komory główne;3 kieszenie przednie;2 kieszenie boczne;dekoracyjne, personalizowane pullery LECH POZNAŃ;górna kieszeń wykończona miękkim materiałem dbającym o powierzchnię telefonu, czy okularów;w środku w całości wykończony personalizowaną podszewką LECH POZNAŃ, wytrzymałym poliestrem i  taśmami;obszerna kieszeń wewnętrzna;dodatkowa mała ukryta kieszeń wewnętrzna;wzmacniane wielowarstwowe dno;;;LP-5738 front.jpg;LP-5738 back.jpg;LP-5738 left side.jpg;LP-5738 inside 1.jpg;LP-5738 inside 2.jpg;LP-5738 inside 3.jpg;lp podszewka.jpg;lp herb.jpg;https://allegro.pl/oferta/lp-5738-plecak-lech-poznan-16264102018;46,5;31,5;21;800;poliester 840D;granatowy;5907582504900
LP-5737 Plecak LECH POZNAŃ;LP-5737;Lech Poznan;299,50;plecak;lech-poznan;mieści format A4;regulowane i wypełnione pianką szelki;gumowa nakładka na rączkę, podnosząca komfort przenoszenia w ręku;plecy usztywniane i wypełnione pianką;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;2 komory główne;2 kieszenie przednie;2 kieszenie boczne;dekoracyjne, personalizowane pullery LECH POZNAŃ;personalizowany brelok LECH POZNAŃ;obszerna kieszeń wewnętrzna z zabezpieczeniami dla laptopa;w przedniej kieszeni organizer na drobne, najbardziej potrzebne przybory i przedmioty;wzmacniane wielowarstwowe dno;w środku w całości wykończony personalizowaną podszewką LECH POZNAŃ, wytrzymałym poliestrem i  taśmami;;;LP-5737 front.jpg;LP-5737 back.jpg;LP-5737 left side.jpg;LP-5737 right side.jpg;lp podszewka.jpg;lp herb.jpg;;;https://allegro.pl/oferta/lp-5737-plecak-lech-poznan-16248346613;46;30;15;850;poliester 300D TWILL;czarny;5907582504894
LP-5676 Saszetka do pasa LECH POZNAŃ;LP-5676;Lech Poznan;64,50;saszetka;lech-poznan;pas biodrowy: do 115 cm;komora główna zamykana na suwak;przednia kieszeń zamykana na suwak;dekoracyjne, personalizowane pullery LECH POZNAŃ.;ergonomicznie zaokrąglony kształt;do noszenia zarówno do pasa jak i na ramieniu;wewnętrzna kieszeń zamykana na suwak;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;całe wnętrze saszetki wyłożone dekoracyjną podszewką;personalizowana podszewka LECH POZNAŃ;;;;;;;LP-5676 front.jpg;LP-5676 back.jpg;LP-5676 inside.jpg;lp podszewka.jpg;lp herb.jpg;;;;https://allegro.pl/oferta/lp-5676-saszetka-do-pasa-lech-poznan-16265088916;11,5;25;5,5;130;poliester 840D;granatowy;5907582504931
Portfel okrągły LECH POZNAŃ LP-5675;LP-5675;Lech Poznan;17,50;portfel;lech-poznan;rozmiar pozwala na schowanie zarówno monet, banknotów, jak i kart oraz innych drobiazgów;w środku wykończony taśmą;suwak zakończony personalizowanym pullerem LECH POZNAŃ;;;;;;;;;;;;;;LP-5675 front.jpg;LP-5675 back.jpg;lp herb.jpg;;;;;;https://allegro.pl/oferta/portfel-okragly-lech-poznan-lp-5675-16269220626;10,5;10,5;1,5;50;poliester 840D;granatowy;5907582504993
Portfel LECH POZNAŃ LP-5674;LP-5674;Lech Poznan;45,00;portfel;lech-poznan;portfel pozwalający na schowanie zarówno pieniędzy jak i drobiazgów;przegroda na banknoty;przegroda na monety zamykana na suwak;kilka innych przegródek;w środku wykończony personalizowaną podszewką LECH POZNAŃ;;;;;;;;;;;;LP-5674 front.jpg;LP-5674 inside.jpg;LP-5674 back.jpg;lp podszewka.jpg;lp herb.jpg;;;;https://allegro.pl/oferta/portfel-lech-poznan-lp-5674-16309558810;14,3;8,5;1;100;poliester 840D;granatowy;5907582504962
Portfel LECH POZNAŃ LP-5673;LP-5673;Lech Poznan;45,00;portfel;lech-poznan;portfel pozwalający na schowanie zarówno pieniędzy jak i drobiazgów;przegroda na banknoty;przegroda na monety zamykana na suwak;kilka innych przegródek;w środku wykończony personalizowaną podszewką LECH POZNAŃ;;;;;;;;;;;;LP-5673 front 2.jpg;LP-5673 front.jpg;LP-5673 inside.jpg;LP-5673 back.jpg;lp podszewka.jpg;lp herb.jpg;;;https://allegro.pl/oferta/portfel-lech-pozna-lp-5673-16269681904;12,3;8;1;100;poliester 300D TWILL;czarny;5907582504955
Saszetka na ramię LECH POZNAŃ LP-5672;LP-5672;Lech Poznan;79,50;saszetka;lech-poznan;komora główna zamykana na suwak;kieszeń przednia zamykana na suwak;1 kieszeń wewnętrzna zamykana na suwak;regulowany pasek naramienny wykonany z personalizowanej taśmy LECH POZNAŃ;personalizowana podszewka LECH POZNAŃ w pełni wyściełająca wnętrze saszetki;dekoracyjne, personalizowane pullery LECH POZNAŃ;;;;;;;;;;;LP-5672 front.jpg;LP-5672 back.jpg;LP-5672 side.jpg;lp podszewka.jpg;lp herb.jpg;;;;https://allegro.pl/oferta/saszetka-na-ramie-lech-poznan-lp-5672-16269082513;20;14,5;6;120;poliester 300D TWILL;czarny;5907582504948
LP-5670 Saszetka do pasa LECH POZNAŃ;LP-5670;Lech Poznan;79,50;saszetka;lech-poznan;pas biodrowy: do 130 cm;komora główna zamykana na suwak;przednia kieszeń zabezpieczona dodatkową warstwą gąbki,  zamykana na suwak;dekoracyjne, personalizowane pullery LECH POZNAŃ;ergonomicznie zaokrąglony kształt;do noszenia zarówno do pasa jak i na ramieniu;personalizowana taśma biodrowa LECH POZNAŃ;wewnętrzna kieszeń zamykana na suwak;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;całe wnętrze saszetki wyłożone dekoracyjną podszewką;personalizowana podszewka LECH POZNAŃ;;;;;;LP-5670 front.jpg;LP-5670 back.jpg;LP-5670 inside.jpg;lp podszewka.jpg;lp herb.jpg;;;;https://allegro.pl/oferta/lp-5670-saszetka-do-pasa-lech-poznan-16264228992;15;35;7;150;poliester 300D TWILL;czarny;5907582504924
