name;sku;brand;price;category;brandPage;info1;info2;info3;info4;info5;info6;info7;info8;info9;info10;info11;info12;info13;info14;info15;info16;image;image2;image3;image4;image5;image6;image7;image8;link;height;width;depth;weight;material;color;BarCode;logoClub;fanstoreLink;brandColor
LW-4736 Plecak LEGIA WARSZAWA;LW-4736;Legia Warszawa;219,90;Plecak;legia-warszawa;regulowane wypełnione pianką szelki;plecy usztywniane gąbką;wzmacniane dno;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;3 komory główne;1 kieszeń przednia;1 kieszeń boczna;obszerna kieszeń wewnętrzna;w środku wykończony personalizowaną podszewką i taśmami LEGIA WARSZAWA;dekoracyjne, personalizowane pullery LEGIA WARSZAWA;;;;;;;LW-4736 front.jpg;LW-4736 back.jpg;LW-4736 left side.jpg;LW-4736 right side.jpg;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/lw-4736-plecak-legia-warszawa-16929151399;47;34;21;600;poliester - typu TWILL;czarny;5907582505181;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Plecak wycieczkowy LEGIA WARSZAWA LW-4732;LW-4732;Legia Warszawa;49,99;Plecak;legia-warszawa;regulowane i wypełnione pianką szelki;plecy usztywniane gąbką;1 komora główna;1 kieszeń przednia;2 kieszenie boczne;obszerna kieszeń wewnętrzna;wzmacniane dno;dekoracyjne, personalizowane pullery LEGIA WARSZAWA;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;;;;;;;;LW-4732 front.jpg;LW-4732 back.jpg;LW-4732 razem.jpg;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/plecak-wycieczkowy-legia-warszawa-lw-4732-16981979564;36,5;26;13;390;poliester;zielony;5907582503835;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Torba gimnastyczna - worek LEGIA WARSZAWA LW-4841;LW-4841;Legia Warszawa;30,00;Torba gimnastyczna;legia-warszawa;ściągany na podwójny sznurek;w środku wykończony taśmami;100% poliester 150D;;;;;;;;;;;;;;LW-4841 front.jpg;;;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/torba-gimnastyczna-worek-legia-warszawa-lw-4841-11490798871;44;37;1;70;poliester;zielony;5907582503873;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Torba sportowa Legia Warszawa LW-4829;LW-4829;Legia Warszawa;109,50;Torba sportowa;legia-warszawa;do noszenia w ręku i na ramieniu;obszerna komora główna;1 przednia kieszeń;wewnętrzna kieszeń na dokumenty;2 kieszenie boczne, w tym 1 duża mieszcząca piłkę , obuwie sportowe, itp;obydwie kieszenie zaopatrzone w wywietrzniki;dekoracyjne, personalizowane pullery LEGIA WARSZAWA;elementy odblaskowe poprawiające bezpieczeństwo użytkownika;;;;;;;;;LW-4829 front.jpg;LW-4829 back.jpg;;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/torba-sportowa-legia-warszawa-lw-4829-12904286658;48;22;23;650;poliester;zielony;5907582503347;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Trolley LEGIA WARSZAWA LW-4726;LW-4726;Legia Warszawa;99,99;Plecak;legia-warszawa;dwie komory główne;przegroda między komorami z poliestru 600HD;kieszeń przednia;dwie kieszenie boczne;kieszeń wewnętrzna;wielowarstwowe, wzmacniane dno w obydwu komorach;kieszenie przednie i wewnętrzna zamykane na suwaki;grube, wzmocnione suwaki;suwaki zakończone dekoracyjnymi końcówkami LEGIA WARSZAWA;uchwyt do przenoszenia lub powieszenia tornistra;elementy odblaskowe poprawiające widoczność Ucznia;szelki: regulowane, profilowane, wzmacniane, wypełnione pianką;plecy: usztywniana konstrukcja , dodatkowe osłony oddzielające trolley od pleców;trolley do jeżdżenia tornistrem;dodatkowa osłona na kółka w trakcie przenoszenia;;LW-4726 front.jpg;LW-4726 back kopia.jpg;LW-4726 razem.jpg;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/trolley-legia-warszawa-lw-4726-12904588500;50;34;21,5;2000;Poliester;zielony;5907582503866;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Tornister-plecak LEGIA WARSZAWA LW-4725;LW-4725;Legia Warszawa;99,99;Plecak;legia-warszawa;2 komory główne;przegroda między komorami z poliestru 600HD;dno oraz klapa wykonana z EVA - znacząco podnosi komfort użytkowania tornistra;przednia kieszeń zamykana na suwak;2 kieszenie boczne;obszerna kieszeń wewnętrzna, a w niej dodatkowy schowek na małe cenne przedmioty;klapa zamykana na odblaskowy zamek;szelki: regulowane, profilowane, wzmacniane, wypełnione pianką i pokryte ‘oddychającą’ tkaniną;plecy: usztywniana i profilowana konstrukcja na płycie PE, wypełniona pianką i pokryta ‘oddychającą tkaniną;grube, wzmocnione suwaki;miejsce na wizytówkę Właściciela;uchwyt do przenoszenia lub powieszenia tornistra;suwaki zakończone dekoracyjnymi końcówkami LEGIA WARSZAWA;personalizowana podszewka LEGIA WARSZAWA;7 elementów odblaskowych podnoszących bezpieczeństwo Ucznia;;LW-4725 front kopia.jpg;LW-4725 back.jpg;LW-4725 razem.jpg;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/tornister-plecak-legia-warszawa-lw-4725-11154105037;43,5;30;19;1100;poliester;zielony;5907582503859;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Plecak Trolley LEGIA WARSZAWA LW-4724;LW-4724;Legia Warszawa;99,99;Plecak;legia-warszawa;dwie komory główne;przegroda między komorami z poliestru 600HD;kieszeń przednia;dwie kieszenie boczne;kieszeń wewnętrzna;kieszenie przednie i wewnętrzna zamykane na suwaki;grube, wzmocnione suwaki;szelki: regulowane, profilowane, wzmacniane, wypełnione pianką;plecy: usztywniana konstrukcja , dodatkowe osłony oddzielające trolley od pleców;wielowarstwowe, wzmacniane dno w obydwu komorach;trolley do jeżdżenia tornistrem;suwaki zakończone dekoracyjnymi końcówkami LEGIA WARSZAWA;uchwyt do przenoszenia lub powieszenia tornistra;dodatkowa osłona na kółka w trakcie przenoszenia;elementy odblaskowe poprawiające widoczność Ucznia;;LW-4724 front.jpg;LW-4724 back.jpg;;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/plecak-trolley-legia-warszawa-lw-4724-13269239359;46,5;29;17;1600;poliester;szary;5907582503323;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Portfel okrągły LEGIA WARSZAWA LW-4672;LW-4672;Legia Warszawa;17,90;Portfel;legia-warszawa;jego rozmiar pozwala na schowanie zarówno monet, banknotów, jak i kart oraz innych drobiazgów;w środku wykończony taśmą;suwak zakończony personalizowanym pullerem LEGIA WARSZAWA;;;;;;;;;;;;;;LW-4672 front.jpg;LW-4672 back.jpg;;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/portfel-okragly-legia-warszawa-lw-4672-16929641371;9,5;9,5;2;40;poliester 300D TWILL;czarny;5907582505006;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Saszetka na ramię LEGIA WARSZAWA LW-4671;LW-4671;Legia Warszawa;79,90;Saszetka;legia-warszawa;komora główna zamykana na suwak;kieszeń przednia zamykana na suwak;1 kieszeń wewnętrzna zamykana na suwak;regulowany pasek naramienny wykonany z personalizowanej taśmy LEGIA WARSZAWA;personalizowana podszewka LEGIA WARSZAWA w pełni wyściełająca wnętrze saszetki;dekoracyjne, personalizowane pullery LEGIA WARSZAWA;;;;;;;;;;;LW-4671 front.jpg;LW-4671 side.jpg;LW-4671 inside.jpg;LW podszewka.jpg;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/saszetka-na-ramie-legia-warszawa-lw-4671-16929621892;20;14,5;6;120;poliester 300D TWILL;czarny;5907582505228;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Kosmetyczka LEGIA WARSZAWA LW-4670;LW-4670;Legia Warszawa;69,90;Kosmetyczka;legia-warszawa;kosmetyczka z materiału tekstylnego typu TWILL;2 kieszenie wewnętrzne;3 dodatkowe szlufki wewnątrz;haczyk do powieszenia kosmetyczki;personalizowana podszewka LEGIA WARSZAWA;personalizowane pullery LEGIA WARSZAWA;;;;;;;;;;;LW-4670 front.jpg;LW-4670 back.jpg;LW-4670 inside.jpg;LW podszewka.jpg;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/kosmetyczka-legia-warszawa-lw-4670-16929521169;12;23,5;12;200;poliester 300D TWILL;czarny;5907582505211;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
Portfel LEGIA WARSZAWA LW-4668;LW-4668;Legia Warszawa;36,50;Portfel;legia-warszawa;portfel pozwalający na schowanie zarówno pieniędzy jak i drobiazgów;przegroda na banknoty;przegroda na monety zamykana na suwak;kilka innych przegródek;w środku wykończony personalizowaną podszewką LEGIA WARSZAWA;;;;;;;;;;;;LW-4668 front.jpg;LW-4668 inside.jpg;LW-4668 back.jpg;LW podszewka.jpg;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/portfel-legia-warszawa-lw-4668-12915713512;12,3;8,5;1;70;poliester 300D RECYCLEX;czarny;5907582504276;fanstore-legia.svg;https://sklep.legia.com/product-category/akcesoria/;rgb(0,126,55)
