name;sku;brand;price;category;brandPage;info1;info2;info3;info4;info5;info6;info7;info8;info9;info10;info11;info12;info13;info14;info15;info16;image;image2;image3;image4;image5;image6;image7;image8;link;height;width;depth;weight;material;color;BarCode
Piórnik sztywny SOUTH futro 2w1brązowy jaguar;SO-1410BJ;South;30,00;piórnik;south;miękki futerkowy materiał;składa się z 2óch piórników:;ZEWNĘTRZNEGO sztywnego i WEWNĘTRZNEGO miękkiego;<b>ZEWNĘTRZNY</b>;ma w środku praktyczną kieszonkę na suwak;zamykany na suwak;<b>WEWNĘTRZNY</b>;ma 3 komory;zamykany na suwaki;w środku wykończony taśmami;;;;;;;SO-1410 brown jaguar FRONT.jpg;SO-1410 brown jaguar BACK.jpg;SO-1410 brown jaguar INSIDE.jpg;SO logo.jpg;;;;;https://allegro.pl/oferta/piornik-sztywny-south-futro-2w1brazowy-jaguar-12902740187;7,5;22;13;300;FUTRO / poliester 300D;brązowy;5907582503248
Piórnik sztywny SOUTH futro 2w1biały jaguar;SO-1410WJ;South;30,00;piórnik;south;miękki futerkowy materiał;składa się z 2óch piórników:;ZEWNĘTRZNEGO sztywnego i WEWNĘTRZNEGO miękkiego;<b>ZEWNĘTRZNY</b>;ma w środku praktyczną kieszonkę na suwak;zamykany na suwak;<b>WEWNĘTRZNY</b>;ma 3 komory;zamykany na suwaki;w środku wykończony taśmami;;;;;;;SO-1410 white jaguar FRONT.jpg;SO-1410 white jaguar BACK.jpg;SO-1410 white jaguar INSIDE.jpg;SO logo.jpg;;;;;https://allegro.pl/oferta/piornik-sztywny-south-futro-2w1bialy-jaguar-14083622524;7,5;22;13;300;FUTRO / poliester 300D;biały;5907582503255
Piórnik sztywny SOUTH futro 2w1biały tygrys;SO-1410WT;South;30,00;piórnik;south;miękki futerkowy materiał;składa się z 2óch piórników:;ZEWNĘTRZNEGO sztywnego i WEWNĘTRZNEGO miękkiego;<b>ZEWNĘTRZNY</b>;ma w środku praktyczną kieszonkę na suwak;zamykany na suwak;<b>WEWNĘTRZNY</b>;ma 3 komory;zamykany na suwaki;w środku wykończony taśmami;;;;;;;SO-1410 white tiger FRONT.jpg;SO-1410 white tiger BACK.jpg;SO-1410 white tiger INSIDE.jpg;SO logo.jpg;;;;;https://allegro.pl/oferta/piornik-sztywny-south-futro-2w1bialy-tygrys-16900503399;7,5;22;13;300;FUTRO / poliester 300D;biały;5907582503262
Piórnik SOUTH, błękitny, pikowany SO-1199;SO-1199;South;19,50;piórnik;south;Materiał: miękka, pikowana, wytrzymała tkania,;1 komora główna;w środku wykończony taśmami;przegroda pomiędzy komorami z grubego i trwałego poliestru;zamykany na suwaki;suwaki zakończone dekoracyjnymi końcówkami;;;;;;;;;;;SO-1199 sky blue lines front.jpg;SO-1199 sky blue lines back.jpg;SO logo.jpg;;;;;;https://allegro.pl/oferta/piornik-south-blekitny-pikowany-so-1199-13810204595;20;8;7;70;poliester;błękitny;5907582504696
Piórnik SOUTH, czarny, pikowany SO-1198;SO-1198;South;19,50;piórnik;south;Materiał: miękka, pikowana, wytrzymała tkania,;1 komora główna;w środku wykończony taśmami;przegroda pomiędzy komorami z grubego i trwałego poliestru;zamykany na suwaki;suwaki zakończone dekoracyjnymi końcówkami;;;;;;;;;;;SO-1198 black checker front.jpg;SO-1198 black checker back.jpg;SO logo.jpg;;;;;;https://allegro.pl/oferta/piornik-south-czarny-pikowany-so-1198-13810162346;20;8;7;70;poliester;czarny;5907582504689
Piórnik SOUTH, różowy, pikowany SO-1197;SO-1197;South;19,50;piórnik;south;Materiał: miękka, pikowana, wytrzymała tkania,;1 komora główna;w środku wykończony taśmami;przegroda pomiędzy komorami z grubego i trwałego poliestru;zamykany na suwaki;suwaki zakończone dekoracyjnymi końcówkami;;;;;;;;;;;SO-1197 pink checker front.jpg;SO-1197 pink checker back.jpg;SO logo.jpg;;;;;;https://allegro.pl/oferta/piornik-south-rozowy-pikowany-so-1197-13810151612;20;8;7;70;poliester;różowy;5907582504672
Piórnik SOUTH, żółty, pikowany SO-1195;SO-1195;South;19,50;piórnik;south;Materiał: miękka, pikowana, wytrzymała tkania,;1 komora główna;w środku wykończony taśmami;przegroda pomiędzy komorami z grubego i trwałego poliestru;zamykany na suwaki;suwaki zakończone dekoracyjnymi końcówkami;;;;;;;;;;;SO-1195 lemon lines front.jpg;SO-1195 lemon lines back.jpg;SO logo.jpg;;;;;;https://allegro.pl/oferta/piornik-south-zolty-pikowany-so-1195-13810127052;20;8;7;70;poliester;żółty;5907582504658
Piórnik SOUTH, pomarańczowy, pikowany SO-1194;SO-1194;South;19,50;piórnik;south;Materiał: miękka, pikowana, wytrzymała tkania,;1 komora główna;w środku wykończony taśmami;przegroda pomiędzy komorami z grubego i trwałego poliestru;zamykany na suwaki;suwaki zakończone dekoracyjnymi końcówkami;;;;;;;;;;;SO-1194 foxy lines front.jpg;SO-1194 foxy lines back.jpg;SO logo.jpg;;;;;;https://allegro.pl/oferta/piornik-south-pomaranczowy-pikowany-so-1194-13810097763;20;8;7;70;poliester;pomarńczowy;5907582504641
Piórnik SOUTH, różowy, pikowany SO-1193;SO-1193;South;19,50;piórnik;south;Materiał: miękka, pikowana, wytrzymała tkania,;1 komora główna;w środku wykończony taśmami;przegroda pomiędzy komorami z grubego i trwałego poliestru;zamykany na suwaki;suwaki zakończone dekoracyjnymi końcówkami;;;;;;;;;;;SO-1193 pink lines front.jpg;SO-1193 pink lines back.jpg;SO logo.jpg;;;;;;https://allegro.pl/oferta/piornik-south-rozowy-pikowany-so-1193-13810087342;20;8;7;70;poliester;różowy;5907582504634
Piórnik SOUTH, zielony, pikowany SO-1192;SO-1192;South;19,50;piórnik;south;Materiał: miękka, pikowana, wytrzymała tkania,;1 komora główna;w środku wykończony taśmami;przegroda pomiędzy komorami z grubego i trwałego poliestru;zamykany na suwaki;suwaki zakończone dekoracyjnymi końcówkami;;;;;;;;;;;SO-1192 green lines front.jpg;SO-1192 green lines back.jpg;SO logo.jpg;;;;;;https://allegro.pl/oferta/piornik-south-zielony-pikowany-so-1192-13810066860;20;8;7;70;poliester;zielony;5907582504627
