name;sku;brand;price;category;brandPage;info1;info2;info3;info4;info5;info6;info7;info8;info9;info10;info11;info12;info13;info14;info15;info16;image;image2;image3;image4;image5;image6;image7;image8;link;height;width;depth;weight;material;color;BarCode
LW-4736 Plecak LEGIA WARSZAWA;LW-4736;Legia Warszawa;219,90;Plecak;brand_Legia_Warszawa.html;regulowane wypełnione pianką szelki;plecy usztywniane gąbką;wzmacniane dno;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;3 komory główne;1 kieszeń przednia;1 kieszeń boczna;obszerna kieszeń wewnętrzna;w środku wykończony personalizowaną podszewką i taśmami LEGIA WARSZAWA;dekoracyjne, personalizowane pullery LEGIA WARSZAWA;;;;;;;LW-4736 front.jpg;W-4736 back.jpg;LW-4736 left side.jpg;LW-4736 right side.jpg;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/lw-4736-plecak-legia-warszawa-16929151399;47;34;21;600;poliester - typu TWILL;czarny;5907582505181
LW-4732 Plecak Wycieczkowy Legia Warszawa;LW-4732;Legia Warszawa;49,99;Plecak;brand_Legia_Warszawa.html;regulowane i wypełnione pianką szelki;plecy usztywniane gąbką;1 komora główna;1 kieszeń przednia;2 kieszenie boczne;obszerna kieszeń wewnętrzna;wzmacniane dno;dekoracyjne, personalizowane pullery LEGIA WARSZAWA;elementy odblaskowe podnoszące bezpieczeństwo Użytkownika;;;;;;;;LW-4732 front.jpg;LW-4732 back.jpg;LW-4732 razem.jpg;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/plecak-wycieczkowy-legia-warszawa-lw-4732-16981979564;36,5;26;13;390;poliester;zielony;5907582503835
Torba gimnastyczna - worek LEGIA WARSZAWA LW-4841;LW-4841;Legia Warszawa;30,00;Torba gimnastyczna;brand_Legia_Warszawa.html;ściągany na podwójny sznurek;w środku wykończony taśmami;100% poliester 150D;;;;;;;;;;;;;;LW-4841 front.jpg;;;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/torba-gimnastyczna-worek-legia-warszawa-lw-4841-11490798871;44;37;1;70;poliester;zielony;5907582503873
Torba sportowa Legia Warszawa LW-4829;LW-4829;Legia Warszawa;109,50;Torba sportowa;brand_Legia_Warszawa.html;do noszenia w ręku i na ramieniu;obszerna komora główna;1 przednia kieszeń;wewnętrzna kieszeń na dokumenty;2 kieszenie boczne, w tym 1 duża mieszcząca piłkę , obuwie sportowe, itp;obydwie kieszenie zaopatrzone w wywietrzniki;dekoracyjne, personalizowane pullery LEGIA WARSZAWA;elementy odblaskowe poprawiające bezpieczeństwo użytkownika;;;;;;;;;LW-4829 front.jpg;LW-4829 back.jpg;LW-4829 razem.jpg;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/torba-sportowa-legia-warszawa-lw-4829-12904286658;48;22;23;650;poliester;zielony;5907582503347
LW-4726 Trolley Legia Warszwa;LW-4726;Legia Warszawa;99,99;Plecak;brand_Legia_Warszawa.html;dwie komory  główne;przegroda między komorami  z poliestru 600HD;kieszeń przednia;dwie kieszenie boczne;kieszeń wewnętrzna;wielowarstwowe, wzmacniane dno w obydwu komorach;kieszenie przednie i wewnętrzna zamykane na suwaki;grube, wzmocnione suwaki;suwaki zakończone dekoracyjnymi końcówkami LEGIA WARSZAWA;uchwyt do przenoszenia lub powieszenia tornistra;elementy odblaskowe poprawiające widoczność Ucznia;szelki: regulowane, profilowane, wzmacniane, wypełnione pianką;plecy: usztywniana konstrukcja , dodatkowe osłony oddzielające trolley od pleców;trolley do jeżdżenia tornistrem;dodatkowa osłona na kółka w trakcie przenoszenia;;LW-4726 front.jpg;LW-4726 back kopia.jpg;LW-4726 razem.jpg;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/trolley-legia-warszawa-lw-4726-12904588500;50;34;21,5;2000;Poliester;zielony;5907582503866
LW-4725 Tornister Legia Warszawa;LW-4725;Legia Warszawa;99,99;Plecak;brand_Legia_Warszawa.html;2 komory  główne;przegroda między komorami  z poliestru 600HD;dno oraz klapa wykonana z EVA - znacząco podnosi komfort użytkowania tornistra;przednia kieszeń zamykana na suwak;2 kieszenie boczne;obszerna kieszeń wewnętrzna, a w niej dodatkowy schowek na małe cenne przedmioty;klapa zamykana na odblaskowy zamek;szelki: regulowane, profilowane, wzmacniane, wypełnione pianką i pokryte ‘oddychającą’ tkaniną;plecy: usztywniana i profilowana konstrukcja na płycie PE, wypełniona pianką i pokryta ‘oddychającą tkaniną;grube, wzmocnione suwaki;miejsce na wizytówkę Właściciela;uchwyt do przenoszenia lub powieszenia tornistra;suwaki zakończone dekoracyjnymi końcówkami LEGIA WARSZAWA;personalizowana podszewka LEGIA WARSZAWA;7 elementów odblaskowych podnoszących bezpieczeństwo Ucznia;;LW-4725 front kopia.jpg;LW-4725 back.jpg;LW-4725 razem.jpg;;;;;1LW pasek-barw.jpg;https://allegro.pl/oferta/tornister-plecak-legia-warszawa-lw-4725-11154105037;43,5;30;19;1100;poliester;zielony;5907582503859
Plecak Trolley LEGIA WARSZAWA LW-4724;LW-4724;Legia Warszawa;99,99;Plecak;brand_Legia_Warszawa.html;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;530;;;
LW-4621 Piórnik Legia Warszawa;LW-4621;Legia Warszawa;39,99;Piórnik;brand_Legia_Warszawa.html;;;;;;;;;;;;;;;;;img\Legia\LW-4621 front kopia.jpg;img\Legia\LW-4621 back.jpg;;;;;;1LW pasek-barw.jpg;https://sklep.legia.com/produkt/kubek-ceramiczny;9,5;8;8;0,35;Ceramika;BiaĹ‚y;
LW-4620 Piórnik Legia Warszawa;LW-4620;Legia Warszawa;50,00;Piórnik;brand_Legia_Warszawa.html;;;;;;;;;;;;;;;;;img\Legia\LW-4620 pen case FRONT.jpg;img\Legia\LW-4618 pen case FRONT.jpg;;;;;;1LW pasek-barw.jpg;https://sklep.legia.com/produkt/szalik-zyleta;145;18;1;0,15;Dzianina akrylowa;BiaĹ‚o-czerwono-zielony;
LW-4671 saszetka na ramię Legia Warszwa;PILKA-PODPISY-5;Legia Warszawa;99,99;saszetka;brand_Legia_Warszawa.html;;;;;;;;;;;;;;;;;img\Legia\LW-4671 front.jpg;img\Legia\LW-4671 inside.jpg;img\Legia\LW-4671 side.jpg;;;;;1LW pasek-barw.jpg;https://sklep.legia.com/produkt/pilka-z-podpisami;22;22;22;0,42;TPU;BiaĹ‚y;
